|'diaqua(15-crown-5)iron(II) nitrate'|||Acta Crystallographica, Section B|2008 64(6) 738 749
C10 H24 Fe N2 O13
H101_2 ? ? 0.4073 0.5866 0.1770 1 0.021
H102_2 ? ? 0.3093 0.6343 0.1800 1 0.021
O6_3 ? ? 0.1922(3) 0.6761(3) 0.33194(6) 1 0.02081(16)
H1W_3 ? ? 0.168(2) 0.716(2) 0.3385(5) 1 0.025
H2W_3 ? ? 0.172(3) 0.686(3) 0.3205(2) 1 0.025
O7_3 ? ? 0.3068(3) 0.4279(3) 0.35467(6) 1 0.02090(17)
H3W_3 ? ? 0.313(3) 0.3752(14) 0.3498(5) 1 0.025
H4W_3 ? ? 0.346(2) 0.430(3) 0.3643(4) 1 0.025
Fe3_3 ? ? 0.24848(9) 0.55168(9) 0.342494(15) 0.8928(19) 0.01219(7)
O1_3 ? ? 0.1210(2) 0.5284(2) 0.35782(4) 0.8928(19) 0.01543(15)
O2_3 ? ? 0.1592(2) 0.4466(3) 0.32451(5) 0.8928(19) 0.01650(15)
O3_3 ? ? 0.3045(2) 0.5392(3) 0.31347(5) 0.8928(19) 0.01685(16)
O4_3 ? ? 0.3885(2) 0.6187(3) 0.34641(5) 0.8928(19) 0.01722(15)
O5_3 ? ? 0.2717(2) 0.6149(3) 0.37187(5) 0.8928(19) 0.02154(16)
C1_3 ? ? 0.0711(4) 0.4453(4) 0.35124(7) 0.8928(19) 0.0203(2)
H11_3 ? ? 0.0081 0.4461 0.3556 0.8928(19) 0.024
H12_3 ? ? 0.1039 0.3885 0.3567 0.8928(19) 0.024
C2_3 ? ? 0.0655(3) 0.4454(4) 0.32905(7) 0.8928(19) 0.0205(2)
H21_3 ? ? 0.0330 0.3885 0.3235 0.8928(19) 0.025
H22_3 ? ? 0.0317 0.5017 0.3236 0.8928(19) 0.025
C3_3 ? ? 0.1687(3) 0.4526(4) 0.30382(7) 0.8928(19) 0.0178(2)
H31_3 ? ? 0.1368 0.5093 0.2981 0.8928(19) 0.021
H32_3 ? ? 0.1414 0.3965 0.2968 0.8928(19) 0.021
C4_3 ? ? 0.2703(4) 0.4579(4) 0.30212(7) 0.8928(19) 0.0175(2)
H41_3 ? ? 0.3018 0.4001 0.3074 0.8928(19) 0.021
H42_3 ? ? 0.2817 0.4652 0.2882 0.8928(19) 0.021
C5_3 ? ? 0.4039(3) 0.5480(4) 0.31561(7) 0.8928(19) 0.0210(2)
H51_3 ? ? 0.4269 0.5555 0.3026 0.8928(19) 0.025
H52_3 ? ? 0.4331 0.4916 0.3221 0.8928(19) 0.025
C6_3 ? ? 0.4259(4) 0.6344(4) 0.32813(7) 0.8928(19) 0.0228(2)
H61_3 ? ? 0.4938 0.6440 0.3304 0.8928(19) 0.027
H62_3 ? ? 0.3975 0.6909 0.3215 0.8928(19) 0.027
C7_3 ? ? 0.3900(4) 0.7004(4) 0.35874(7) 0.8928(19) 0.0207(2)
H71_3 ? ? 0.3516 0.7509 0.3521 0.8928(19) 0.025
H72_3 ? ? 0.4542 0.7239 0.3616 0.8928(19) 0.025
C8_3 ? ? 0.3515(3) 0.6723(4) 0.37755(7) 0.8928(19) 0.0201(2)
H81_3 ? ? 0.3984 0.6365 0.3862 0.8928(19) 0.024
H82_3 ? ? 0.3337 0.7287 0.3847 0.8928(19) 0.024
C9_3 ? ? 0.1976(4) 0.6205(4) 0.38370(7) 0.8928(19) 0.0167(2)
H91_3 ? ? 0.1602 0.6778 0.3805 0.8928(19) 0.020
H92_3 ? ? 0.2212 0.6217 0.3978 0.8928(19) 0.020
C10_3 ? ? 0.1409(4) 0.5337(4) 0.37880(7) 0.8928(19) 0.0176(2)
H101_3 ? ? 0.1757 0.4772 0.3838 0.8928(19) 0.021
H102_3 ? ? 0.0824 0.5367 0.3850 0.8928(19) 0.021
Fe9_9 ? ? 0.2500(5) 0.5563(5) 0.34475(9) 0.1072(19) 0.01219(7)
O1_9 ? ? 0.3732(6) 0.5825(8) 0.32980(14) 0.1072(19) 0.01543(15)
O2_9 ? ? 0.3418(7) 0.6500(8) 0.36270(13) 0.1072(19) 0.01650(15)
O3_9 ? ? 0.1956(7) 0.5699(8) 0.37257(11) 0.1072(19) 0.01685(16)
O4_9 ? ? 0.1114(6) 0.4889(8) 0.34181(15) 0.1072(19) 0.01722(15)
O5_9 ? ? 0.2265(7) 0.4923(8) 0.31753(11) 0.1072(19) 0.02154(16)
C1_9 ? ? 0.4253(7) 0.6631(10) 0.33657(18) 0.1072(19) 0.0203(2)
H1A_9 ? ? 0.3939 0.7205 0.3319 0.1072(19) 0.024
H1B_9 ? ? 0.4856 0.6618 0.3321 0.1072(19) 0.024
C2_9 ? ? 0.4347(7) 0.6600(10) 0.35759(18) 0.1072(19) 0.0205(2)
H2A_9 ? ? 0.4726 0.6067 0.3624 0.1072(19) 0.025
H2B_9 ? ? 0.4629 0.7177 0.3630 0.1072(19) 0.025
C3_9 ? ? 0.3332(9) 0.6485(11) 0.38284(13) 0.1072(19) 0.0178(2)
