||Yu Chikamoto; Masakazu Hirotsu; Tatsuya Kawamoto; Takumi Konno|Alkylation of Nonbridging Thiolato Groups in an S-bridged CoIIIPdIICoIII Trinuclear Complex: Control of Geometrical Isomerism by Tuning Trans Influence Due to Sulfur Donors|Chemistry Letters|2005 34(3) 362
C14 H56 Cl4 Co2 N6 O7 Pd S6
? ? ? ? ? ?
P21
H1C 1 ? 0.0425 0.6146 0.1070 1 0.054
H1D 1 ? -0.0305 0.5980 0.0165 1 0.054
C2 1 ? -0.0827(18) 0.6516(17) 0.097(2) 1 0.047(9)
H2C 1 ? -0.0826 0.7116 0.0770 1 0.056
H2D 1 ? -0.0675 0.6532 0.1576 1 0.056
C3 1 ? -0.177(2) 0.3861(19) 0.234(2) 1 0.045(9)
H3C 1 ? -0.1404 0.3723 0.2922 1 0.054
H3D 1 ? -0.2393 0.3791 0.2251 1 0.054
C4 1 ? -0.1503(17) 0.323(2) 0.1706(18) 1 0.041(8)
H4C 1 ? -0.0857 0.3181 0.1910 1 0.049
H4D 1 ? -0.1744 0.2643 0.1708 1 0.049
C5 1 ? -0.3618(19) 0.435(3) -0.0725(19) 1 0.054(10)
H5C 1 ? -0.3612 0.3709 -0.0680 1 0.065
H5D 1 ? -0.4215 0.4536 -0.1089 1 0.065
C6 1 ? -0.294(2) 0.465(2) -0.1080(16) 1 0.064(12)
H6C 1 ? -0.3083 0.5257 -0.1280 1 0.077
H6D 1 ? -0.3003 0.4286 -0.1563 1 0.077
C7 1 ? -0.3815(18) 0.592(2) -0.0048(19) 1 0.084(13)
H7C 1 ? -0.3742 0.6236 0.0457 1 0.101
H7D 1 ? -0.4441 0.5867 -0.0391 1 0.101
H7E 1 ? -0.3515 0.6224 -0.0353 1 0.101
C8 1 ? 0.0127(18) 0.5941(19) 0.4193(19) 1 0.045(9)
H8C 1 ? -0.0468 0.6145 0.3843 1 0.054
H8D 1 ? 0.0190 0.5969 0.4777 1 0.054
C9 1 ? 0.0794(17) 0.649(2) 0.4062(19) 1 0.042(8)
H9C 1 ? 0.0780 0.7073 0.4293 1 0.051
H9D 1 ? 0.0642 0.6556 0.3462 1 0.051
C10 1 ? 0.174(2) 0.387(2) 0.270(2) 1 0.045(9)
H10C 1 ? 0.1403 0.3747 0.2110 1 0.054
H10D 1 ? 0.2369 0.3788 0.2809 1 0.054
C11 1 ? 0.1466(17) 0.3207(17) 0.3230(14) 1 0.023(6)
H11C 1 ? 0.0819 0.3157 0.3018 1 0.027
H11D 1 ? 0.1712 0.2627 0.3201 1 0.027
C12 1 ? 0.355(2) 0.442(2) 0.5729(19) 1 0.051(10)
H12C 1 ? 0.3526 0.3774 0.5707 1 0.061
H12D 1 ? 0.4158 0.4586 0.6090 1 0.061
C13 1 ? 0.290(2) 0.477(2) 0.6093(15) 1 0.055(9)
H13A 1 ? 0.3002 0.4480 0.6628 1 0.066
H13B 1 ? 0.2986 0.5399 0.6193 1 0.066
C14 1 ? 0.3783(18) 0.5926(16) 0.504(2) 1 0.053(9)
H14A 1 ? 0.3703 0.6258 0.4542 1 0.063
H14B 1 ? 0.4410 0.5883 0.5383 1 0.063
H14C 1 ? 0.3482 0.6222 0.5355 1 0.063
C15 1 ? 0.3167(17) 0.6007(18) 0.2234(16) 1 0.032(7)
H15A 1 ? 0.2521 0.6074 0.2015 1 0.038
H15B 1 ? 0.3398 0.6141 0.2831 1 0.038
C16 1 ? 0.354(2) 0.6594(19) 0.1812(19) 1 0.049(10)
H16A 1 ? 0.4188 0.6535 0.2030 1 0.059
H16B 1 ? 0.3393 0.7203 0.1885 1 0.059
C17 1 ? 0.4824(19) 0.3934(17) 0.0742(15) 1 0.041(8)
H17A 1 ? 0.4688 0.3922 0.0141 1 0.049
H17B 1 ? 0.5430 0.3721 0.1032 1 0.049
C18 1 ? 0.4156(18) 0.334(2) 0.0957(16) 1 0.039(8)
H18A 1 ? 0.4158 0.2752 0.0739 1 0.046
H18B 1 ? 0.4342 0.3303 0.1564 1 0.046
C19 1 ? 0.150(2) 0.556(2) -0.0813(19) 1 0.049(9)
H19A 1 ? 0.0895 0.5459 -0.1202 1 0.058
H19B 1 ? 0.1594 0.6199 -0.0744 1 0.058
C20 1 ? 0.2131(13) 0.519(2) -0.1160(18) 1 0.046(9)
H20A 1 ? 0.1981 0.4578 -0.1321 1 0.055
H20B 1 ? 0.2100 0.5522 -0.1655 1 0.055
C21 1 ? 0.1183(16) 0.4018(19) -0.0050(19) 1 0.052(10)
H21A 1 ? 0.1255 0.3667 0.0438 1 0.063
H21B 1 ? 0.1460 0.3721 -0.0383 1 0.063
H21C 1 ? 0.0557 0.4098 -0.0378 1 0.063
C22 1 ? 0.5174(15) 0.398(2) 0.427(2) 1 0.045(9)
H22A 1 ? 0.5306 0.3987 0.4870 1 0.054
H22B 1 ? 0.4560 0.3791 0.3983 1 0.054
C23 1 ? 0.5814(16) 0.3337(18) 0.4074(19) 1 0.052(10)
H23A 1 ? 0.5812 0.2765 0.4330 1 0.062
H23B 1 ? 0.5623 0.3255 0.3471 1 0.062
C24 1 ? 0.6853(19) 0.6039(18) 0.2772(19) 1 0.034(7)
H24A 1 ? 0.7498 0.6114 0.2995 1 0.041
