||||Inorganic Chemistry|2000
C60 H54 Cl Cu3 F12 N9 O3 P2
24.177(3) 24.1765 24.1765 90 90 90
I23
Cu ? ? 0.22296(8) 0.26777(9) 0.15861(8) 1.00 0.0475(6)
Cl ? ? 0.1709(2) 0.1709 0.1709 0.33 0.062(1)
P(1) ? ? 1.0000 0.3466 0.5000 0.50 0.0629
P(2) ? ? 0.3845 0.3845 0.3845 0.17 0.1194
F(1) ? ? 0.9434 0.3482 0.5327 1.00 0.1344
F(2) ? ? 0.9775 0.3889 0.4551 1.00 0.1709
F(3) ? ? 0.9779 0.2972 0.4632 1.00 0.1328
F(4) ? ? 0.4135 0.4135 0.4135 0.33 0.3947
F(5) ? ? 0.4309 0.3499 0.3729 0.33 0.1394
F(6) ? ? 0.3538 0.3538 0.3538 0.33 0.3212
O ? ? 0.2863(4) 0.2284(4) 0.1921(3) 1.00 0.036(3)
N(1) ? ? 0.2561(5) 0.2409(6) 0.0891(5) 1.00 0.050(4)
N(2) ? ? 0.2022(5) 0.3467(6) 0.1418(5) 1.00 0.050(4)
N(3) ? ? 0.3922(5) 0.2974(6) 0.1160(6) 1.00 0.052(4)
C(1) ? ? 0.3312(5) 0.2285(6) 0.1553(6) 1.00 0.040(4)
C(2) ? ? 0.3089(6) 0.2208(6) 0.0958(6) 1.00 0.034(4)
C(3) ? ? 0.3357(7) 0.1969(7) 0.0537(7) 1.00 0.050(5)
C(4) ? ? 0.3114(8) 0.1907(8) 0.0038(8) 1.00 0.062(6)
C(5) ? ? 0.2573(8) 0.2097(9) -0.0031(7) 1.00 0.072(6)
C(6) ? ? 0.2313(7) 0.2344(8) 0.0399(6) 1.00 0.055(5)
C(7) ? ? 0.1727(9) 0.2546(10) 0.0366(9) 1.00 0.088(8)
C(8) ? ? 0.3603(6) 0.2840(6) 0.1595(7) 1.00 0.039(4)
C(9) ? ? 0.3546(8) 0.3171(7) 0.2078(8) 1.00 0.057(6)
C(10) ? ? 0.3836(10) 0.3650(9) 0.2076(8) 1.00 0.077(7)
C(11) ? ? 0.4159(8) 0.3810(7) 0.1652(9) 1.00 0.066(6)
C(12) ? ? 0.4210(7) 0.3442(7) 0.1191(8) 1.00 0.054(5)
C(13) ? ? 0.4590(9) 0.3588(9) 0.0714(9) 1.00 0.086(8)
C(14) ? ? 0.1719(6) 0.3694(6) 0.1805(6) 1.00 0.039(4)
C(15) ? ? 0.1587(7) 0.4256(7) 0.1801(7) 1.00 0.050(5)
C(16) ? ? 0.1782(9) 0.4577(7) 0.1383(8) 1.00 0.066(6)
C(17) ? ? 0.2106(8) 0.4350(9) 0.0991(8) 1.00 0.070(7)
C(18) ? ? 0.2218(8) 0.3775(9) 0.1019(7) 1.00 0.065(6)
C(19) ? ? 1.0000 0.0000 0.3785 0.33 0.0911
C(20) ? ? 0.9548 -0.0279 0.3469 0.67 0.1210
C(21) ? ? 0.9575 -0.0293 0.2930 0.67 0.1064
C(22) ? ? 1.0000 0.0000 0.2620 0.33 0.0968
H(3) ? ? 0.3729 0.1845 0.0599 1.00 0.0562
H(4) ? ? 0.3318 0.1738 -0.0264 1.00 0.0734
H(5) ? ? 0.2382 0.2064 -0.0381 1.00 0.0773
H(7a) ? ? 0.1691 0.2923 0.0451 1.00 0.0971
H(7b) ? ? 0.1566 0.2478 0.0006 1.00 0.0971
H(7c) ? ? 0.1490 0.2340 0.0628 1.00 0.0971
H(9) ? ? 0.3315 0.3066 0.2382 1.00 0.0691
H(10) ? ? 0.3826 0.3899 0.2392 1.00 0.0870
H(11) ? ? 0.4353 0.4158 0.1654 1.00 0.0730
H(13a) ? ? 0.4853 0.3306 0.0653 1.00 0.0972
H(13b) ? ? 0.4368 0.3623 0.0377 1.00 0.0972
H(13c) ? ? 0.4771 0.3931 0.0771 1.00 0.0972
H(15) ? ? 0.1363 0.4419 0.2096 1.00 0.0571
H(16) ? ? 0.1688 0.4957 0.1361 1.00 0.0773
H(17) ? ? 0.2256 0.4567 0.0687 1.00 0.0822
H(18) ? ? 0.2458 0.3601 0.0737 1.00 0.0754
