||Lim, Jong Wan; Yeo, Hwan Jin; Jeong, Jong Hwa|trans-[Bis-2,6-(2-benzimidazolyl-κN^2^)pyridine-κN]nitrobis (triphenylphosphine-P)ruthenium(II) Perchlorate Ethanol Solvate|Acta Crystallographica Section C|1997 53 1405 1407
[Ru (C57 H49 N6 O3 P2)], Cl O4
11.991(2) 13.951(4) 14.923(4) 96.02(2) 94.49(2) 98.42(2)
P-1
H26R ? ? .4380(7) .1402(6) .3556(5) 1 .050
C27R ? ? .5880(8) .2285(7) .3557(6) 1 .052(2)
H27R ? ? .6240(8) .1828(7) .3241(6) 1 .063
C28R ? ? .6456(7) .3214(7) .3834(7) 1 .059(3)
H28R ? ? .7206(7) .3379(7) .3715(7) 1 .071
C29R ? ? .5924(8) .3883(7) .4279(7) 1 .059(3)
H29R ? ? .6306(8) .4513(7) .4457(7) 1 .070
C30R ? ? .4808(7) .3635(6) .4472(6) 1 .046(2)
H30R ? ? .4442(7) .4100(6) .4770(6) 1 .055
C31R ? ? .2666(7) .1166(5) .4751(5) 1 .037(2)
C32R ? ? .1613(7) .0576(5) .4659(5) 1 .038(2)
H32R ? ? .0977(7) .0802(5) .4415(5) 1 .045
C33R ? ? .1517(8) -.0340(6) .4930(5) 1 .044(2)
H33R ? ? .0819(8) -.0745(6) .4838(5) 1 .053
C34R ? ? .2420(8) -.0667(6) .5329(6) 1 .048(2)
H34R ? ? .2337(8) -.1291(6) .5508(6) 1 .057
C35R ? ? .3464(8) -.0077(6) .5470(6) 1 .055(2)
H35R ? ? .4081(8) -.0287(6) .5765(6) 1 .067
C36R ? ? .3573(7) .0832(6) .5165(6) 1 .049(2)
H36R ? ? .4278(7) .1226(6) .5242(6) 1 .059
Cl ? ? -.4765(4) .1179(4) -.2025(4) .70 .0829(13)
O3 ? ? -.3655(10) .1777(9) -.1930(9) .70 .097(4)
O4 ? ? -.4943(14) .1086(13) -.1023(10) .70 .141(7)
O5 ? ? -.5641(12) .1659(11) -.2371(10) .70 .117(5)
O6 ? ? -.4821(15) .0239(12) -.2462(12) .70 .172(7)
Cl' ? ? .4701(10) .8416(9) .1750(8) .30 .083(3)
O3' ? ? .361(3) .776(2) .139(2) .30 .166(17)
O4' ? ? .4857(19) .9305(16) .1285(15) .30 .060(6)
O5' ? ? .560(3) .789(2) .194(2) .30 .147(15)
O6' ? ? .435(3) .889(2) .2722(18) .30 .128(12)
O1S ? ? .418(4) .609(3) .054(3) 1 .46(2)
C1S ? ? .467(3) .536(3) .023(3) 1 .241(14)
C2S ? ? .391(2) .489(2) -.063(2) 1 .212(11)
