?|?||||
C56 H58 N2 O2 P4 Pd4 Se8 W2
10.55250(10) 15.1794(2) 21.2565(2) 90.00 98.7260(10) 90.00
P21/c
C4 1 ? 0.2160(9) 0.7661(10) -0.0881(5) 1 0.078(2)
H4 1 ? 0.1837 0.7663 -0.1401 1 0.094
C5 1 ? 0.2990(10) 0.6564(9) -0.0558(5) 1 0.084(2)
H5 1 ? 0.3230 0.5832 -0.0863 1 0.101
C6 1 ? 0.3462(8) 0.6560(7) 0.0219(5) 1 0.0668(18)
H6 1 ? 0.4019 0.5822 0.0435 1 0.080
C7 1 ? 0.5723(6) 0.7203(5) 0.1468(3) 1 0.0395(10)
C8 1 ? 0.6548(7) 0.7695(7) 0.0688(4) 1 0.0619(17)
H8 1 ? 0.6062 0.8222 0.0286 1 0.074
C9 1 ? 0.8087(7) 0.7413(8) 0.0498(4) 1 0.0656(18)
H9 1 ? 0.8627 0.7754 -0.0027 1 0.079
C10 1 ? 0.8810(7) 0.6635(7) 0.1081(5) 1 0.0622(16)
H10 1 ? 0.9843 0.6434 0.0950 1 0.075
C11 1 ? 0.8031(8) 0.6160(8) 0.1845(5) 1 0.075(2)
H11 1 ? 0.8531 0.5628 0.2239 1 0.090
C12 1 ? 0.6475(7) 0.6452(7) 0.2058(4) 1 0.0613(17)
H12 1 ? 0.5952 0.6138 0.2598 1 0.074
C13 1 ? 0.3084(6) 0.6145(5) 0.2353(4) 1 0.0426(11)
H13A 1 ? 0.3265 0.5450 0.1976 1 0.051
H13B 1 ? 0.3624 0.5873 0.2823 1 0.051
C14 1 ? 0.1412(6) 0.6469(5) 0.2739(4) 1 0.0434(11)
H14A 1 ? 0.1061 0.5745 0.3121 1 0.052
H14B 1 ? 0.0860 0.6664 0.2271 1 0.052
C15 1 ? 0.1705(6) 0.7249(5) 0.4394(3) 1 0.0428(11)
C16 1 ? 0.1634(13) 0.6004(8) 0.4736(6) 1 0.101(4)
H16 1 ? 0.1265 0.5460 0.4447 1 0.121
C17 1 ? 0.2111(16) 0.5544(9) 0.5515(7) 1 0.123(5)
H17 1 ? 0.2094 0.4687 0.5728 1 0.147
C18 1 ? 0.2607(10) 0.6345(10) 0.5975(5) 1 0.089(3)
H18 1 ? 0.2899 0.6040 0.6503 1 0.106
C19 1 ? 0.2662(9) 0.7577(8) 0.5648(5) 1 0.0707(19)
H19 1 ? 0.3011 0.8119 0.5949 1 0.085
C20 1 ? 0.2201(8) 0.8052(7) 0.4861(4) 1 0.0578(15)
H20 1 ? 0.2228 0.8909 0.4651 1 0.069
C21 1 ? -0.0854(6) 0.8377(5) 0.3583(3) 1 0.0417(11)
C22 1 ? -0.1786(7) 0.8137(7) 0.4389(4) 1 0.0614(16)
H22 1 ? -0.1405 0.7708 0.4865 1 0.074
C23 1 ? -0.3324(8) 0.8557(9) 0.4471(6) 1 0.084(2)
H23 1 ? -0.3962 0.8405 0.5009 1 0.101
C24 1 ? -0.3892(8) 0.9176(9) 0.3784(6) 1 0.079(2)
H24 1 ? -0.4913 0.9442 0.3853 1 0.095
C25 1 ? -0.2995(8) 0.9408(8) 0.3004(5) 1 0.073(2)
H25 1 ? -0.3397 0.9827 0.2533 1 0.087
C26 1 ? -0.1474(7) 0.9031(7) 0.2895(4) 1 0.0615(16)
H26 1 ? -0.0860 0.9216 0.2354 1 0.074

?|?||||
C28 H28 Cl2 P2 Pd Se4 W
10.0512(6) 14.8092(9) 10.8528(7) 90.00 91.4810(10) 90.00
P21/m
C1 1 ? 0.6192(7) 0.0390(5) 0.7043(6) 1 0.0328(15)
C2 1 ? 0.7286(8) 0.0486(6) 0.6314(8) 1 0.0457(18)
H2 1 ? 0.7421 0.1024 0.5893 1 0.055
C3 1 ? 0.8179(9) -0.0214(8) 0.6207(9) 1 0.058(2)
H3 1 ? 0.8911 -0.0146 0.5709 1 0.070
C4 1 ? 0.8002(10) -0.1008(7) 0.6825(9) 1 0.062(3)
H4 1 ? 0.8622 -0.1471 0.6765 1 0.075
C5 1 ? 0.6919(10) -0.1114(6) 0.7524(10) 1 0.061(3)
H5 1 ? 0.6787 -0.1659 0.7928 1 0.074
C6 1 ? 0.5994(8) -0.0417(5) 0.7649(7) 1 0.0425(18)
H6 1 ? 0.5254 -0.0496 0.8134 1 0.051
C7 1 ? 0.3510(7) 0.0888(5) 0.7755(7) 1 0.0338(15)
C8 1 ? 0.2913(9) 0.1225(6) 0.8804(8) 1 0.048(2)
H8 1 ? 0.3341 0.1667 0.9275 1 0.057
C9 1 ? 0.1690(9) 0.0905(7) 0.9147(10) 1 0.062(3)
H9 1 ? 0.1296 0.1135 0.9847 1 0.075
C10 1 ? 0.1064(10) 0.0267(8) 0.8482(10) 1 0.066(3)
H10 1 ? 0.0234 0.0065 0.8724 1 0.079
C11 1 ? 0.1626(9) -0.0107(7) 0.7424(9) 1 0.056(2)
H11 1 ? 0.1195 -0.0559 0.6973 1 0.067
