gamma-Cyclodextrin methanol||||Acta Crystallographica, Section B|1998 B54 450 455
H55 ? ? .6877(6) .0706(5) .3113(5) 1 .083
C65 ? ? .7346(9) .0443(6) .3826(6) 1 .107(6)
H651 ? ? .7104(9) .0634(6) .4099(6) 1 .129
H652 ? ? .7226(9) .0054(6) .3806(6) 1 .129
O25 ? ? .7636(4) .1696(3) .1807(3) 1 .070(2)
O35 ? ? .7960(4) .0538(3) .1782(3) 1 .077(3)
O45 ? ? .7470(3) -.0117(3) .2661(3) 1 .053(2)
O55 ? ? .7465(3) .1279(3) .3304(3) 1 .066(2)
O65 ? ? .7910(8) .0463(6) .4033(5) .85(3) .145(8)
C16 ? ? .5564(5) .2852(5) .2822(4) 1 .056(3)
H16 ? ? .5402(5) .3221(5) .2908(4) 1 .067
C26 ? ? .5958(4) .2905(5) .2312(4) 1 .053(3)
H26 ? ? .6234(4) .3196(5) .2405(4) 1 .063
C36 ? ? .6265(4) .2376(5) .2209(4) 1 .055(3)
H36 ? ? .5991(4) .2086(5) .2105(4) 1 .066
C46 ? ? .6552(5) .2198(5) .2762(4) 1 .053(3)
H46 ? ? .6839(5) .2474(5) .2874(4) 1 .063
C56 ? ? .6129(4) .2123(5) .3241(5) 1 .057(3)
H56 ? ? .5855(4) .1838(5) .3124(5) 1 .068
C66 ? ? .6377(5) .1961(5) .3825(4) 1 .071(4)
H661 ? ? .6076(5) .1917(5) .4104(4) 1 .085
H662 ? ? .6568(5) .1603(5) .3790(4) 1 .085
O26 ? ? .5655(3) .3084(3) .1820(3) 1 .067(2)
O36 ? ? .6655(3) .2428(3) .1749(3) 1 .064(2)
O46 ? ? .6813(3) .1651(3) .2639(3) 1 .060(2)
O56 ? ? .5845(3) .2653(3) .3315(3) 1 .060(2)
O66 ? ? .6757(4) .2368(4) .4024(3) 1 .090(3)
OW1 ? ? .6734(5) .3826(5) .5460(5) 1 .117(4)
OW2 ? ? .4103(8) .4089(9) .1643(10) 1 .240(8)
OW3 ? ? .3187(10) .3577(9) .5386(9) 1 .292(12)
OW4 ? ? .5922(17) .4669(18) .9644(14) 1 .56(3)
OW5 ? ? .4131(15) .3660(16) 1.0689(17) .80(4) .38(3)
OW6 ? ? .587(2) .513(3) .4460(18) .75(4) .54(4)
OW7 ? ? .5685(12) .4103(13) .3925(13) .69(4) .239(19)
OW8 ? ? .5774(16) .4586(16) .2877(17) .70(4) .34(3)
OW9 ? ? .5836(9) .4040(8) .8337(12) .56(3) .117(12)
OW10 ? ? .972(2) .340(2) .202(2) .57(4) .40(4)
OW11 ? ? .435(2) .423(2) .290(3) .58(5) .35(4)
OW12 ? ? .4512(19) .394(2) .367(2) .58(5) .32(3)
OW13 ? ? .3599(16) .0872(16) .7882(15) .39(3) .18(2)
OW14 ? ? .613(2) .386(2) .876(3) .18(3) .09(2)
OW15 ? ? .575(6) -.006(7) .341(4) .15(2) .29(8)
OW16 ? ? .0000 .5000 .190(3) .18(4) .07(3)
OW17 ? ? 1.0000 .0000 .146(5) .23(5) .29(9)
