tag	index	loopnr	value	filename
_chemical_formula_sum	0	-1	C16 H44 Co Nd2 O26	tests/cif2tsv_012.inp
_[local]_cod_chemical_formula_sum_orig	0	-1	C16 H44 Co1 Nd2 O26	tests/cif2tsv_012.inp
_journal_volume	0	-1	47	tests/cif2tsv_012.inp
_journal_year	0	-1	1991	tests/cif2tsv_012.inp
_journal_page_first	0	-1	1624	tests/cif2tsv_012.inp
_journal_name_full	0	-1	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun.	tests/cif2tsv_012.inp
_publ_author_name	0	0	A.Gonzalez	tests/cif2tsv_012.inp
_publ_author_name	1	0	A.Beltran	tests/cif2tsv_012.inp
_publ_author_name	2	0	A.le Bail	tests/cif2tsv_012.inp
_cell_volume	0	-1	851.974	tests/cif2tsv_012.inp
_exptl_crystal_colour	0	-1	purple	tests/cif2tsv_012.inp
_exptl_crystal_density_diffrn	0	-1	1.95	tests/cif2tsv_012.inp
_diffrn_ambient_temperature	0	-1	?	tests/cif2tsv_012.inp
_refine_ls_r_factor_gt	0	-1	0.024	tests/cif2tsv_012.inp
_refine_ls_wr_factor_gt	0	-1	0.024	tests/cif2tsv_012.inp
_symmetry_cell_setting	0	-1	triclinic	tests/cif2tsv_012.inp
_symmetry_space_group_name_h-m	0	-1	P -1	tests/cif2tsv_012.inp
_symmetry_int_tables_number	0	-1	2	tests/cif2tsv_012.inp
_symmetry_equiv_pos_site_id	0	1	1	tests/cif2tsv_012.inp
_symmetry_equiv_pos_site_id	1	1	2	tests/cif2tsv_012.inp
_symmetry_equiv_pos_as_xyz	0	1	x,y,z	tests/cif2tsv_012.inp
_symmetry_equiv_pos_as_xyz	1	1	-x,-y,-z	tests/cif2tsv_012.inp
_cell_length_a	0	-1	8.243(2)	tests/cif2tsv_012.inp
_cell_length_b	0	-1	10.368(3)	tests/cif2tsv_012.inp
_cell_length_c	0	-1	11.497(3)	tests/cif2tsv_012.inp
_cell_angle_alpha	0	-1	111.64(1)	tests/cif2tsv_012.inp
_cell_angle_beta	0	-1	107.94(1)	tests/cif2tsv_012.inp
_cell_angle_gamma	0	-1	93.45(1)	tests/cif2tsv_012.inp
_cell_formula_units_z	0	-1	1	tests/cif2tsv_012.inp
