dblname	tag	index	value	filename
2000000	_atom_site_label	52	O3A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	53	O4A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	54	O6A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	55	O8A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	56	O9A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	57	O11A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	58	Nd1A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	59	C1A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	60	C4A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	61	C2A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	62	C7A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	63	C1A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	64	C4A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	65	C2A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	66	H1A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	67	H2A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	68	H5A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	69	H6A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	70	O4A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	71	C5A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	72	O6A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	73	C8A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	74	O8A**	tests/cif2tsv_010.inp
2000000	_atom_site_label	75	C6A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	76	H17A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	77	H18A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	78	H19A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	79	H11A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	80	H12A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	81	H13A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	82	H20A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	83	H21A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	84	H22A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	85	H14A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	86	H15A*	tests/cif2tsv_010.inp
2000000	_atom_site_label	87	H16A*	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	0	Nd	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	1	Co	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	2	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	3	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	4	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	5	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	6	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	7	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	8	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	9	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	10	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	11	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	12	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	13	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	14	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	15	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	16	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	17	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	18	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	19	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	20	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	21	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	22	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	23	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	24	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	25	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	26	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	27	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	28	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	29	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	30	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	31	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	32	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	33	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	34	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	35	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	36	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	37	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	38	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	39	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	40	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	41	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	42	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	43	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	44	H	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	45	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	46	Nd	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	47	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	48	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	49	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	50	C	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	51	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	52	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	53	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	54	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	55	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	56	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	57	O	tests/cif2tsv_010.inp
2000000	_atom_site_type_symbol	58	Nd	tests/cif2tsv_010.inp
