tag	index	value
_atom_site_fract_x	65	3	0.2295(2)
_atom_site_fract_x	66	3	-0.1991(49)
_atom_site_fract_x	67	3	-0.4008(33)
_atom_site_fract_x	68	3	-0.0390(56)
_atom_site_fract_x	69	3	-0.2211(42)
_atom_site_fract_x	70	3	-0.3817(2)
_atom_site_fract_x	71	3	-0.4411(3)
_atom_site_fract_x	72	3	0.1046(2)
_atom_site_fract_x	73	3	0.1363(7)
_atom_site_fract_x	74	3	0.1406(3)
_atom_site_fract_x	75	3	0.3757(4)
_atom_site_fract_x	76	3	-0.2961(67)
_atom_site_fract_x	77	3	-0.2674(60)
_atom_site_fract_x	78	3	-0.4668(10)
_atom_site_fract_x	79	3	-0.3756(64)
_atom_site_fract_x	80	3	-0.5401(51)
_atom_site_fract_x	81	3	-0.5008(60)
_atom_site_fract_x	82	3	0.0448(44)
_atom_site_fract_x	83	3	0.0895(55)
_atom_site_fract_x	84	3	0.2612(32)
_atom_site_fract_x	85	3	0.4444(58)
_atom_site_fract_x	86	3	0.3174(64)
_atom_site_fract_x	87	3	0.4657(52)
_atom_site_fract_y	0	3	0.91889(1)
_atom_site_fract_y	1	3	1.00000
_atom_site_fract_y	2	3	1.1320(2)
_atom_site_fract_y	3	3	1.1607(2)
_atom_site_fract_y	4	3	0.9534(2)
_atom_site_fract_y	5	3	0.9169(2)
_atom_site_fract_y	6	3	1.1611(2)
_atom_site_fract_y	7	3	1.0779(2)
_atom_site_fract_y	8	3	0.8361(2)
_atom_site_fract_y	9	3	0.7728(2)
_atom_site_fract_y	10	3	0.8905(2)
_atom_site_fract_y	11	3	0.2934(2)
_atom_site_fract_y	12	3	0.6666(2)
_atom_site_fract_y	13	3	0.6002(3)
_atom_site_fract_y	14	3	0.5562(3)
_atom_site_fract_y	15	3	0.9366(2)
_atom_site_fract_y	16	3	0.7568(2)
_atom_site_fract_y	17	3	1.2062(2)
_atom_site_fract_y	18	3	1.1743(2)
_atom_site_fract_y	19	3	0.9424(4)
_atom_site_fract_y	20	3	0.6297(3)
_atom_site_fract_y	21	3	1.3442(3)
_atom_site_fract_y	22	3	1.3150(3)
_atom_site_fract_y	23	3	0.9233(52)
_atom_site_fract_y	24	3	0.9591(43)
_atom_site_fract_y	25	3	0.2807(64)
_atom_site_fract_y	26	3	0.2516(60)
_atom_site_fract_y	27	3	0.5809(32)
_atom_site_fract_y	28	3	0.6412(50)
_atom_site_fract_y	29	3	0.6802(33)
_atom_site_fract_y	30	3	0.6363(46)
_atom_site_fract_y	31	3	0.4899(43)
_atom_site_fract_y	32	3	0.6421(36)
_atom_site_fract_y	33	3	0.9536(52)
_atom_site_fract_y	34	3	0.8803(47)
_atom_site_fract_y	35	3	1.0460(25)
_atom_site_fract_y	36	3	0.6118(57)
_atom_site_fract_y	37	3	0.5399(37)
_atom_site_fract_y	38	3	0.6434(56)
_atom_site_fract_y	39	3	1.3575(61)
_atom_site_fract_y	40	3	1.4135(49)
_atom_site_fract_y	41	3	1.3698(53)
_atom_site_fract_y	42	3	1.3532(52)
_atom_site_fract_y	43	3	1.3650(55)
_atom_site_fract_y	44	3	1.3399(59)
_atom_site_fract_y	45	3	0.8680(2)
_atom_site_fract_y	46	3	1.08111(1)
_atom_site_fract_y	47	3	1.0466(2)
_atom_site_fract_y	48	3	0.8389(2)
_atom_site_fract_y	49	3	1.1639(2)
_atom_site_fract_y	50	3	0.7938(2)
_atom_site_fract_y	51	3	0.8393(2)
_atom_site_fract_y	52	3	1.0466(2)
_atom_site_fract_y	53	3	1.0831(2)
_atom_site_fract_y	54	3	0.9221(2)
_atom_site_fract_y	55	3	1.2272(2)
_atom_site_fract_y	56	3	1.1095(2)
_atom_site_fract_y	57	3	1.3334(2)
_atom_site_fract_y	58	3	1.08111(1)
_atom_site_fract_y	59	3	1.0634(2)
_atom_site_fract_y	60	3	0.8257(2)
_atom_site_fract_y	61	3	1.2432(2)
_atom_site_fract_y	62	3	0.6558(3)
_atom_site_fract_y	63	3	1.0634(2)
_atom_site_fract_y	64	3	0.8257(2)
_atom_site_fract_y	65	3	1.2432(2)
_atom_site_fract_y	66	3	1.0767(52)
_atom_site_fract_y	67	3	1.0409(43)
_atom_site_fract_y	68	3	1.4191(32)
_atom_site_fract_y	69	3	1.3588(50)
_atom_site_fract_y	70	3	1.0831(2)
_atom_site_fract_y	71	3	1.0576(4)
_atom_site_fract_y	72	3	0.9221(2)
_atom_site_fract_y	73	3	0.6850(3)
_atom_site_fract_y	74	3	1.2272(2)
_atom_site_fract_y	75	3	1.3703(3)
_atom_site_fract_y	76	3	0.6425(61)
_atom_site_fract_y	77	3	0.5865(49)
_atom_site_fract_y	78	3	0.6302(53)
_atom_site_fract_y	79	3	1.0464(52)
_atom_site_fract_y	80	3	1.1197(47)
_atom_site_fract_y	81	3	0.9540(25)
_atom_site_fract_y	82	3	0.6468(52)
_atom_site_fract_y	83	3	0.6350(55)
_atom_site_fract_y	84	3	0.6601(59)
_atom_site_fract_y	85	3	1.3882(57)
_atom_site_fract_y	86	3	1.4601(37)
_atom_site_fract_y	87	3	1.3566(56)
_atom_site_fract_z	0	3	0.33204(1)
_atom_site_fract_z	1	3	0.00000
_atom_site_fract_z	2	3	0.5666(2)
_atom_site_fract_z	3	3	0.4591(2)
_atom_site_fract_z	4	3	0.1531(1)
_atom_site_fract_z	5	3	0.2987(2)
_atom_site_fract_z	6	3	0.1408(2)
_atom_site_fract_z	7	3	0.2862(2)
_atom_site_fract_z	8	3	-0.0437(2)
_atom_site_fract_z	9	3	0.1286(2)
_atom_site_fract_z	10	3	0.5313(2)
_atom_site_fract_z	11	3	0.3264(2)
_atom_site_fract_z	12	3	0.2612(3)
_atom_site_fract_z	13	3	0.9368(3)
_atom_site_fract_z	14	3	0.4230(3)
_atom_site_fract_z	15	3	0.1939(2)
_atom_site_fract_z	16	3	0.0125(2)
_atom_site_fract_z	17	3	0.5599(2)
_atom_site_fract_z	18	3	0.2435(2)
_atom_site_fract_z	19	3	0.1169(3)
_atom_site_fract_z	20	3	-0.0662(3)
_atom_site_fract_z	21	3	0.6732(3)
_atom_site_fract_z	22	3	0.3215(4)
_atom_site_fract_z	23	3	0.5730(49)
_atom_site_fract_z	24	3	0.5848(46)
_atom_site_fract_z	25	3	0.2454(35)
_atom_site_fract_z	26	3	0.3812(44)
_atom_site_fract_z	27	3	0.1806(36)
_atom_site_fract_z	28	3	0.3093(47)
_atom_site_fract_z	29	3	0.9088(47)
_atom_site_fract_z	30	3	1.0277(25)
_atom_site_fract_z	31	3	0.3897(51)
_atom_site_fract_z	32	3	0.5032(39)
_atom_site_fract_z	33	3	0.0251(27)
_atom_site_fract_z	34	3	0.1042(48)
_atom_site_fract_z	35	3	0.1971(33)
_atom_site_fract_z	36	3	-0.0056(45)
_atom_site_fract_z	37	3	-0.1033(46)
_atom_site_fract_z	38	3	-0.1497(31)
_atom_site_fract_z	39	3	0.7610(32)
_atom_site_fract_z	40	3	0.6298(53)
_atom_site_fract_z	41	3	0.7010(51)
_atom_site_fract_z	42	3	0.2858(44)
_atom_site_fract_z	43	3	0.4296(5)
_atom_site_fract_z	44	3	0.2816(46)
_atom_site_fract_z	45	3	0.4334(2)
_atom_site_fract_z	46	3	0.66796(1)
_atom_site_fract_z	47	3	-0.1531(1)
_atom_site_fract_z	48	3	-0.1408(2)
_atom_site_fract_z	49	3	0.0437(2)
_atom_site_fract_z	50	3	0.4401(2)
_atom_site_fract_z	51	3	0.5409(2)
_atom_site_fract_z	52	3	0.8469(1)
_atom_site_fract_z	53	3	0.7013(2)
_atom_site_fract_z	54	3	0.7138(2)
_atom_site_fract_z	55	3	0.8714(2)
_atom_site_fract_z	56	3	0.4687(2)
_atom_site_fract_z	57	3	0.7388(3)
_atom_site_fract_z	58	3	-0.33204(1)
_atom_site_fract_z	59	3	-0.1939(2)
_atom_site_fract_z	60	3	-0.2435(2)
_atom_site_fract_z	61	3	-0.0125(2)
_atom_site_fract_z	62	3	0.3268(3)
_atom_site_fract_z	63	3	0.8061(2)
_atom_site_fract_z	64	3	0.7565(2)
_atom_site_fract_z	65	3	0.9875(2)
_atom_site_fract_z	66	3	0.4270(49)
_atom_site_fract_z	67	3	0.4152(46)
_atom_site_fract_z	68	3	0.8194(36)
_atom_site_fract_z	69	3	0.6907(47)
_atom_site_fract_z	70	3	-0.2987(2)
_atom_site_fract_z	71	3	-0.1169(3)
_atom_site_fract_z	72	3	-0.2862(2)
_atom_site_fract_z	73	3	-0.3215(4)
_atom_site_fract_z	74	3	-0.1286(2)
_atom_site_fract_z	75	3	0.0662(3)
_atom_site_fract_z	76	3	0.2390(32)
_atom_site_fract_z	77	3	0.3702(53)
_atom_site_fract_z	78	3	0.2990(51)
_atom_site_fract_z	79	3	-0.0251(27)
_atom_site_fract_z	80	3	-0.1042(48)
_atom_site_fract_z	81	3	-0.1971(33)
_atom_site_fract_z	82	3	-0.2858(44)
_atom_site_fract_z	83	3	-0.4296(5)
_atom_site_fract_z	84	3	-0.2816(46)
_atom_site_fract_z	85	3	0.0056(45)
_atom_site_fract_z	86	3	0.1033(46)
_atom_site_fract_z	87	3	0.1497(31)
_cod_database_code	0	-1	2000000
