dblname	tag	index	loopnr	value	filename
2000000	_atom_site_label	57	3	O11A*	inputs/2000000.cif
2000000	_atom_site_label	58	3	Nd1A**	inputs/2000000.cif
2000000	_atom_site_label	59	3	C1A*	inputs/2000000.cif
2000000	_atom_site_label	60	3	C4A*	inputs/2000000.cif
2000000	_atom_site_label	61	3	C2A*	inputs/2000000.cif
2000000	_atom_site_label	62	3	C7A*	inputs/2000000.cif
2000000	_atom_site_label	63	3	C1A**	inputs/2000000.cif
2000000	_atom_site_label	64	3	C4A**	inputs/2000000.cif
2000000	_atom_site_label	65	3	C2A**	inputs/2000000.cif
2000000	_atom_site_label	66	3	H1A*	inputs/2000000.cif
2000000	_atom_site_label	67	3	H2A*	inputs/2000000.cif
2000000	_atom_site_label	68	3	H5A*	inputs/2000000.cif
2000000	_atom_site_label	69	3	H6A*	inputs/2000000.cif
2000000	_atom_site_label	70	3	O4A**	inputs/2000000.cif
2000000	_atom_site_label	71	3	C5A*	inputs/2000000.cif
2000000	_atom_site_label	72	3	O6A**	inputs/2000000.cif
2000000	_atom_site_label	73	3	C8A*	inputs/2000000.cif
2000000	_atom_site_label	74	3	O8A**	inputs/2000000.cif
2000000	_atom_site_label	75	3	C6A*	inputs/2000000.cif
2000000	_atom_site_label	76	3	H17A*	inputs/2000000.cif
2000000	_atom_site_label	77	3	H18A*	inputs/2000000.cif
2000000	_atom_site_label	78	3	H19A*	inputs/2000000.cif
2000000	_atom_site_label	79	3	H11A*	inputs/2000000.cif
2000000	_atom_site_label	80	3	H12A*	inputs/2000000.cif
2000000	_atom_site_label	81	3	H13A*	inputs/2000000.cif
2000000	_atom_site_label	82	3	H20A*	inputs/2000000.cif
2000000	_atom_site_label	83	3	H21A*	inputs/2000000.cif
2000000	_atom_site_label	84	3	H22A*	inputs/2000000.cif
2000000	_atom_site_label	85	3	H14A*	inputs/2000000.cif
2000000	_atom_site_label	86	3	H15A*	inputs/2000000.cif
2000000	_atom_site_label	87	3	H16A*	inputs/2000000.cif
2000000	_atom_site_type_symbol	0	3	Nd	inputs/2000000.cif
2000000	_atom_site_type_symbol	1	3	Co	inputs/2000000.cif
2000000	_atom_site_type_symbol	2	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	3	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	4	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	5	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	6	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	7	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	8	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	9	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	10	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	11	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	12	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	13	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	14	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	15	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	16	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	17	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	18	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	19	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	20	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	21	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	22	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	23	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	24	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	25	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	26	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	27	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	28	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	29	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	30	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	31	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	32	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	33	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	34	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	35	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	36	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	37	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	38	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	39	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	40	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	41	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	42	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	43	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	44	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	45	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	46	3	Nd	inputs/2000000.cif
2000000	_atom_site_type_symbol	47	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	48	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	49	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	50	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	51	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	52	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	53	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	54	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	55	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	56	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	57	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	58	3	Nd	inputs/2000000.cif
2000000	_atom_site_type_symbol	59	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	60	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	61	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	62	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	63	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	64	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	65	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	66	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	67	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	68	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	69	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	70	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	71	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	72	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	73	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	74	3	O	inputs/2000000.cif
2000000	_atom_site_type_symbol	75	3	C	inputs/2000000.cif
2000000	_atom_site_type_symbol	76	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	77	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	78	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	79	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	80	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	81	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	82	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	83	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	84	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	85	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	86	3	H	inputs/2000000.cif
2000000	_atom_site_type_symbol	87	3	H	inputs/2000000.cif
2000000	_atom_site_fract_x	0	3	0.08652(1)	inputs/2000000.cif
2000000	_atom_site_fract_x	1	3	0.00000	inputs/2000000.cif
2000000	_atom_site_fract_x	2	3	0.1104(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	3	3	0.2765(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	4	3	0.1692(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	5	3	0.3817(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	6	3	-0.0662(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	7	3	-0.1046(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	8	3	-0.2041(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	9	3	-0.1406(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	10	3	0.2875(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	11	3	0.3925(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	12	3	0.1131(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	13	3	0.0941(4)	inputs/2000000.cif
2000000	_atom_site_fract_x	14	3	0.3018(4)	inputs/2000000.cif
2000000	_atom_site_fract_x	15	3	0.3266(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	16	3	-0.2295(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	17	3	0.2321(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	18	3	-0.1002(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	19	3	0.4411(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	20	3	-0.3757(4)	inputs/2000000.cif
2000000	_atom_site_fract_x	21	3	0.3274(5)	inputs/2000000.cif
2000000	_atom_site_fract_x	22	3	-0.1363(7)	inputs/2000000.cif
2000000	_atom_site_fract_x	23	3	0.1991(49)	inputs/2000000.cif
2000000	_atom_site_fract_x	24	3	0.4008(33)	inputs/2000000.cif
2000000	_atom_site_fract_x	25	3	0.2912(38)	inputs/2000000.cif
2000000	_atom_site_fract_x	26	3	0.3530(57)	inputs/2000000.cif
2000000	_atom_site_fract_x	27	3	0.0390(56)	inputs/2000000.cif
2000000	_atom_site_fract_x	28	3	0.2211(42)	inputs/2000000.cif
2000000	_atom_site_fract_x	29	3	0.1026(80)	inputs/2000000.cif
2000000	_atom_site_fract_x	30	3	0.0848(80)	inputs/2000000.cif
2000000	_atom_site_fract_x	31	3	0.3767(53)	inputs/2000000.cif
2000000	_atom_site_fract_x	32	3	0.3767(53)	inputs/2000000.cif
2000000	_atom_site_fract_x	33	3	0.3756(64)	inputs/2000000.cif
2000000	_atom_site_fract_x	34	3	0.5401(51)	inputs/2000000.cif
2000000	_atom_site_fract_x	35	3	0.5008(60)	inputs/2000000.cif
2000000	_atom_site_fract_x	36	3	-0.4444(58)	inputs/2000000.cif
2000000	_atom_site_fract_x	37	3	-0.3174(64)	inputs/2000000.cif
2000000	_atom_site_fract_x	38	3	-0.4657(52)	inputs/2000000.cif
2000000	_atom_site_fract_x	39	3	0.2961(67)	inputs/2000000.cif
2000000	_atom_site_fract_x	40	3	0.2674(60)	inputs/2000000.cif
2000000	_atom_site_fract_x	41	3	0.4668(10)	inputs/2000000.cif
2000000	_atom_site_fract_x	42	3	-0.0448(44)	inputs/2000000.cif
2000000	_atom_site_fract_x	43	3	-0.0895(55)	inputs/2000000.cif
2000000	_atom_site_fract_x	44	3	-0.2612(32)	inputs/2000000.cif
2000000	_atom_site_fract_x	45	3	-0.1104(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	46	3	-0.08652(1)	inputs/2000000.cif
2000000	_atom_site_fract_x	47	3	-0.1692(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	48	3	0.0662(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	49	3	0.2041(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	50	3	-0.2321(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	51	3	-0.2765(3)	inputs/2000000.cif
2000000	_atom_site_fract_x	52	3	-0.1692(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	53	3	-0.3817(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	54	3	0.1046(2)	inputs/2000000.cif
2000000	_atom_site_fract_x	55	3	0.1406(3)	inputs/2000000.cif
