dblname	tag	index	loopnr	value	filename
2000000	_cell_length_a	0	-1	8.243(2)	inputs/2000000.cif
2000000	_cell_length_b	0	-1	10.368(3)	inputs/2000000.cif
2000000	_cell_length_c	0	-1	11.497(3)	inputs/2000000.cif
7052868	_cell_length_a	0	-1	9.1783(17)	inputs/7052868.cif
7052868	_cell_length_b	0	-1	11.032(2)	inputs/7052868.cif
7052868	_cell_length_c	0	-1	14.830(3)	inputs/7052868.cif
9007991	_cell_length_a	0	-1	5.672	inputs/9007991.cif
9007991	_cell_length_b	0	-1	10.737	inputs/9007991.cif
9007991	_cell_length_c	0	-1	16.742	inputs/9007991.cif
