"Generators of the (3+1)-Dimensional Superspace Groups",,,,,,
"Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch",,,,,,
"November 2006",,,,,,
" ",,,,,,
"Group Symbol","Equivalent","Generator 1","Generator 2","Generator 3","Generator 4",
"15.1 B2/b(ab0)","0s","-x1,-x2+1/2,x3,-x4","x1,x2+1/2,-x3,x4"," "," "," "
"15.2 B2/b(00g)",,"-x1,-x2+1/2,x3,x4","x1,x2+1/2,-x3,-x4"," "," "," "
"15.3 B2/b(00g)s0",,"-x1,-x2+1/2,x3,x4+1/2","x1,x2+1/2,-x3,-x4"," "," "," "
"16.1 P222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"16.2 P222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"16.3 P222(01/2g)","00s","x1,-x2,-x3,-x4","-x1,x2,-x3,x2-x4","-x1,-x2,x3,-x2+x4"," "," "
"16.4 P222(1/21/2g)","00s","x1,-x2,-x3,x1-x4","-x1,x2,-x3,x2-x4","-x1,-x2,x3,-x1-x2+x4"," "," "
"17.1 P222_1(00g)","00s","x1,-x2,-x3,-x4","-x1,x2,-x3+1/2,-x4","-x1,-x2,x3+1/2,x4"," "," "
"17.2 P222_1(01/2g)","00s","x1,-x2,-x3,-x4","-x1,x2,-x3+1/2,x2-x4","-x1,-x2,x3+1/2,-x2+x4"," "," "
"17.3 P222_1(1/21/2g)","00s","x1,-x2,-x3,x1-x4","-x1,x2,-x3+1/2,x2-x4","-x1,-x2,x3+1/2,-x1-x2+x4"," "," "
"17.4 P2_122(00g)",,"x1+1/2,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1+1/2,-x2,x3,x4"," "," "
"17.5 P2_122(00g)00s",,"x1+1/2,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1+1/2,-x2,x3,x4+1/2"," "," "
"17.6 P2_122(01/2g)","00s","x1+1/2,-x2,-x3,-x4","-x1,x2,-x3,x2-x4","-x1+1/2,-x2,x3,-x2+x4"," "," "
"18.1 P2_12_12(00g)",,"x1+1/2,-x2+1/2,-x3,-x4","-x1+1/2,x2+1/2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"18.2 P2_12_12(00g)00s",,"x1+1/2,-x2+1/2,-x3,-x4","-x1+1/2,x2+1/2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"18.3 P2_122_1(00g)","00s","x1+1/2,-x2,-x3+1/2,-x4","-x1,x2,-x3,-x4","-x1+1/2,-x2,x3+1/2,x4"," "," "
"18.4 P2_122_1(01/2g)","00s","x1+1/2,-x2,-x3+1/2,-x4","-x1,x2,-x3,x2-x4","-x1+1/2,-x2,x3+1/2,-x2+x4"," "," "
"19.1 P2_12_12_1(00g)","00s","x1+1/2,-x2+1/2,-x3,-x4","-x1,x2+1/2,-x3+1/2,-x4","-x1+1/2,-x2,x3+1/2,x4"," "," "
"20.1 C222_1(00g)","00s","x1,-x2,-x3,-x4","-x1,x2,-x3+1/2,-x4","-x1,-x2,x3+1/2,x4"," "," "
"20.2 C222_1(10g)","00s","x1,-x2,-x3,2x1-x4","-x1,x2,-x3+1/2,-x4","-x1,-x2,x3+1/2,-2x1+x4"," "," "
"20.3 A2_122(00g)",,"x1+1/2,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1+1/2,-x2,x3,x4"," "," "
"20.4 A2_122(00g)00s",,"x1+1/2,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1+1/2,-x2,x3,x4+1/2"," "," "
"21.1 C222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"21.2 C222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"21.3 C222(10g)",,"x1,-x2,-x3,2x1-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,-2x1+x4"," "," "
"21.4 C222(10g)00s",,"x1,-x2,-x3,2x1-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,-2x1+x4+1/2"," "," "
"21.5 A222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
