../perl-scripts/cif_fix_values: inputs/cod/cif/2/2001820.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '502-504 (decomp.)'. Temperature value changed to '503.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2001829.cif: NOTE, _chemical_melting_point value '189:190' changed to '189.5(5)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2001919.cif: NOTE, _cell_measurement_temperature value '122+-0.5' changed to '122.0(5)'- fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2001922.cif: NOTE, _cell_measurement_temperature value 'Room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2002919.cif: NOTE, _chemical_melting_point value '103-105C' changed to '377.1(10)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2002996.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as 'decomposition at 565 K'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2002997.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as 'decomposition at 565 K'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003133.cif: NOTE, _chemical_melting_point value '377-379' changed to '378.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003135.cif: NOTE, _chemical_melting_point value '373-375' changed to '374.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003136.cif: NOTE, _chemical_melting_point value '367-370' changed to '368.5(15)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003171.cif: NOTE, _cell_measurement_temperature value 'Room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003245.cif: NOTE, _cell_measurement_temperature value 'Room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003332.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003333.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003386.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003387.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003388.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003389.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003390.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003480.cif: WARNING, _cell_measurement_temperature value is '85(2)      [292(1)]', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003483.cif: WARNING, _cell_measurement_temperature value is '85(2) [299(1)]', it should be numeric, i.e.'FLOAT or 'INT', permitted range [0.0;+inf], given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003496.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003571.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003577.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003662.cif: NOTE, _cell_measurement_temperature value '296+-1' changed to '296.0(10)'- fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2003712.cif: NOTE, _cell_measurement_temperature value 'room temperature' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004143.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004396.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004500.cif: NOTE, _cell_measurement_temperature value '295(1.5)' changed to '295.0(15)'- fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004650.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004919.cif: NOTE, _cell_measurement_temperature value '-150(2)' changed to '123(2)' - converted between degrees Celsius(C) and Kelvins(K), value should be numeric, permitted range [0.0;+inf] given in Kelvins(K) without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2004974.cif: NOTE, _cell_measurement_temperature value '298K' changed to '298' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2005004.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2005005.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2005046.cif: NOTE, _cell_measurement_temperature value 'Temp\'erature ambiante' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2005377.cif: NOTE, _cell_measurement_temperature value 'room' changed to '295(2)' - took room/ambient temperature average value [293;298] in Kelvins(K).
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2005758.cif: NOTE, _cell_measurement_temperature value '298K' changed to '298' - value should be numeric, i.e.'FLOAT or 'INT' without temperature units.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006088.cif: NOTE, _chemical_melting_point value '158-159\%C' changed to '431.6(5)' - converted between degrees Celsius(C) and Kelvins(K), took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006094.cif: NOTE, _chemical_melting_point value '399-401 K' changed to '400.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006095.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '160(d)'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006105.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '254 (dec.)'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006106.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '180 (dec.)'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006114.cif: NOTE, _diffrn_ambient_temperature value '173 (2)' changed to '173(2)'- fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006115.cif: NOTE, '_chemical_melting_point' tag changed to '_chemical_temperature_decomposition' since the value is given as '467 decomposed'.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006134.cif: NOTE, _chemical_melting_point value '369-371' changed to '370.0(10)' - took average value and fixed precision.
../perl-scripts/cif_fix_values: inputs/cod/cif/2/2006135.cif: NOTE, _chemical_melting_point value '380-381' changed to '380.5(5)' - took average value and fixed precision.
